"gene_set","gene"
"clean_D2","TNFRSF12A"
"clean_D2","DPT"
"clean_D2","ITGA11"
"clean_D2","PIEZO2"
"clean_D2","B4GALT2"
"clean_D2","TYMP"
"clean_D2","CD74"
"clean_D2","HLA-DRA"
"clean_D2","EFEMP2"
"clean_D2","PALLD"
"clean_D2","CST3"
"clean_D2","C1orf122"
"clean_D2","GAS6"
"clean_D2","ZMAT3"
"clean_D2","LIMA1"
"clean_D2","PDLIM7"
"clean_D2","PDLIM2"
"clean_D2","MYDGF"
"clean_D2","CILP2"
"clean_D2","GUCY1A3"
"clean_D2","BNC2"
"clean_D2","COL18A1"
"clean_D2","LGALS3BP"
"clean_D2","TMSB10"
"clean_D2","S100A11"
"clean_D2","C1QTNF5"
"clean_D2","FSTL1"
"clean_D2","OGN"
"clean_D2","THBS4"
"clean_D2","GOLM1"
"clean_D2","P3H3"
"clean_D2","HCFC1R1"
"clean_D2","ARPC1B"
"clean_D2","FKBP11"
"clean_D2","CCDC80"
"clean_D2","AK1"
"clean_D2","C1QTNF6"
"clean_D2","PODN"
"clean_D2","ACTA2"
"clean_D2","CKAP4"
"clean_D2","SULF1"
"clean_D2","ZNF469"
"clean_D2","P3H1"
"clean_D2","MIR4435-2HG"
"clean_D2","FAP"
"clean_D2","TSHZ2"
"clean_D2","COL11A1"
"clean_D2","VKORC1"
"clean_D2","SMOC2"
"clean_D2","CHPF"
"clean_D2","NBL1"
"clean_D2","COL12A1"
"clean_D2","FKBP10"
"clean_D2","SULF2"
"clean_D2","COL16A1"
"clean_D2","MMP2"
"clean_D2","SERF2"
"clean_D2","MXRA5"
"clean_D2","P4HA2"
"clean_D2","NREP"
"clean_D2","PYCR1"
"clean_D2","EMILIN1"
"clean_D2","MYL9"
"clean_D2","RARRES2"
"clean_D2","LINC00152"
"clean_D2","P3H4"
"clean_D2","PPIB"
"clean_D2","VCAN"
"clean_D2","CPXM1"
"clean_D2","IGFBP4"
"clean_D2","ARMC9"
"clean_D2","SERPINF1"
"clean_D2","COPZ2"
"clean_D2","PPIC"
"clean_D2","FOXP1"
"clean_D2","OLFML2B"
"clean_D2","LRRC15"
"clean_D2","ASPN"
"clean_D2","COL5A3"
"clean_D2","SFRP4"
"clean_D2","SEPT11"
"clean_D2","BASP1"
"clean_D2","NNMT"
"clean_D2","MARCKS"
"clean_D2","HSPG2"
"clean_D2","TIMP1"
"clean_D2","ARL4C"
"clean_D2","AEBP1"
"clean_D2","WISP2"
"clean_D2","TAGLN"
"clean_D2","BMP1"
"clean_D2","COL8A1"
"clean_D2","THBS2"
"clean_D2","FBN1"
"clean_D2","MRC2"
"clean_D2","COL6A1"
"clean_D2","CTHRC1"
"clean_D2","PCOLCE"
"clean_D2","COL14A1"
"clean_D2","ADAMTS2"
"clean_D2","COMP"
"clean_D2","IGFBP7"
"clean_D2","COL6A3"
