"gene","discovery_detection_fraction","discovery_detection_eligible","metacell_variance","selected_top_variable","clean_program"
"FBXO42",0.142990654205607,TRUE,0.00704720132475754,TRUE,NA
"ARHGEF19",0.094392523364486,TRUE,0.00146748852343268,FALSE,NA
"FLJ37453",0.0485981308411215,FALSE,NA,FALSE,NA
"EPHA2",0.0485981308411215,FALSE,NA,FALSE,NA
"HSPB7",0.0130841121495327,FALSE,NA,FALSE,NA
"CLCNKB",0.00280373831775701,FALSE,NA,FALSE,NA
"RP11-276H7.2",0,FALSE,NA,FALSE,NA
"RP11-276H7.3",0.000934579439252336,FALSE,NA,FALSE,NA
"ARHGEF19-AS1",0.000934579439252336,FALSE,NA,FALSE,NA
"RSG1",0.00747663551401869,FALSE,NA,FALSE,NA
"SZRD1",0.24018691588785,TRUE,0.00643763104000768,TRUE,NA
"SPATA21",0.014018691588785,FALSE,NA,FALSE,NA
"NECAP2",0.127102803738318,TRUE,0.00222488178668159,FALSE,NA
"RP4-798A10.2",0.00373831775700935,FALSE,NA,FALSE,NA
"RP11-108M9.4",0.121495327102804,TRUE,0.00226856159810399,FALSE,NA
"SDHB",0.247663551401869,TRUE,0.00550565997095474,TRUE,NA
"RP5-1182A14.7",0,FALSE,NA,FALSE,NA
"RP4-798A10.7",0.000934579439252336,FALSE,NA,FALSE,NA
"RP4-798A10.4",0,FALSE,NA,FALSE,NA
"NBPF1",0.0383177570093458,FALSE,NA,FALSE,NA
"CROCC",0.136448598130841,TRUE,0.00416851495356346,FALSE,NA
"RP11-108M9.6",0.000934579439252336,FALSE,NA,FALSE,NA
"ATP13A2",0.0579439252336449,TRUE,0.000712754881017769,FALSE,NA
"MFAP2",0.35981308411215,TRUE,0.038456978782607,TRUE,"clean_D2"
"RP1-37C10.3",0.014018691588785,FALSE,NA,FALSE,NA
"RCC2",0.245794392523364,TRUE,0.00597757894526647,TRUE,NA
"PADI2",0.00560747663551402,FALSE,NA,FALSE,NA
"PADI4",0,FALSE,NA,FALSE,NA
"RP11-380J14.1",0,FALSE,NA,FALSE,NA
"PADI1",0.000934579439252336,FALSE,NA,FALSE,NA
"PADI3",0.000934579439252336,FALSE,NA,FALSE,NA
"ARHGEF10L",0.124299065420561,TRUE,0.00612680337189547,TRUE,NA
"RP1-20B21.4",0.000934579439252336,FALSE,NA,FALSE,NA
"RP11-473A10.2",0,FALSE,NA,FALSE,NA
"IGSF21",0.00186915887850467,FALSE,NA,FALSE,NA
"RP11-422P22.1",0,FALSE,NA,FALSE,NA
"KLHDC7A",0,FALSE,NA,FALSE,NA
"RP1-43E13.2",0.0504672897196262,TRUE,0.00160612396860326,FALSE,NA
"PAX7",0,FALSE,NA,FALSE,NA
"UBR4",0.22803738317757,TRUE,0.00461250391383862,FALSE,NA
"IFFO2",0.123364485981308,TRUE,0.00270639981852156,FALSE,NA
"RP13-279N23.2",0.0186915887850467,FALSE,NA,FALSE,NA
"AKR7A2",0.226168224299065,TRUE,0.0048709143986837,FALSE,NA
"ALDH4A1",0.0196261682242991,FALSE,NA,FALSE,NA
"CAPZB",0.582242990654206,TRUE,0.0428822393818874,TRUE,"clean_D2"
"EMC1",0.120560747663551,TRUE,0.00111076707633151,FALSE,NA
"MRTO4",0.152336448598131,TRUE,0.00276428434617044,FALSE,NA
"PQLC2",0.0401869158878505,FALSE,NA,FALSE,NA
"AKR7A3",0.00560747663551402,FALSE,NA,FALSE,NA
