"gene","raw_cluster","dynamic_module","peak_bin","trough_bin","spearman_rho","q_value","expressed_fraction","mean_expression","direction"
"HMGB1","1","D2_late_increasing","27","30","-0.227319939022366","8.11085884960967e-14","0.78785046728972","1.0071939926261","decreases_with_pseudotime"
"HIST1H4C","1","D2_late_increasing","26","30","-0.224415200937419","1.68875135059927e-13","0.457009345794393","0.409318920873585","decreases_with_pseudotime"
"RPL35","1","D2_late_increasing","27","30","-0.216602219336436","1.15136052211642e-12","0.974766355140187","2.24769922346667","decreases_with_pseudotime"
"SNHG8","1","D2_late_increasing","6","29","-0.210228975138566","5.18219340889469e-12","0.447663551401869","0.404130761044889","decreases_with_pseudotime"
"RPS2","1","D2_late_increasing","27","30","-0.207665848931415","9.38078243831869e-12","0.980373831775701","2.2976223608162","decreases_with_pseudotime"
"TMEM258","1","D2_late_increasing","28","30","0.20011186306307","5.21128243970172e-11","0.627102803738318","0.666711857249934","increases_with_pseudotime"
"POLDIP2","1","D2_late_increasing","27","4","0.200250969148978","5.05312221907316e-11","0.183177570093458","0.102057646058294","increases_with_pseudotime"
"PLXNA3","1","D2_late_increasing","28","4","0.200307603161685","4.99253336634376e-11","0.12803738317757","0.0697398598760777","increases_with_pseudotime"
"MRPS12","1","D2_late_increasing","27","2","0.200338962500665","4.96112577449386e-11","0.211214953271028","0.121376735351473","increases_with_pseudotime"
"RAB24","1","D2_late_increasing","28","5","0.200424108444054","4.86988849690408e-11","0.142056074766355","0.0707067875549059","increases_with_pseudotime"
"MARVELD1","1","D2_late_increasing","27","30","0.200807381567333","4.46977953985775e-11","0.400934579439252","0.295330660114901","increases_with_pseudotime"
"CMKLR1","1","D2_late_increasing","28","1","0.201311377734015","3.99010695981014e-11","0.103738317757009","0.062023121114954","increases_with_pseudotime"
"PTPMT1","1","D2_late_increasing","28","30","0.201325189448217","3.9808294870413e-11","0.248598130841122","0.139255509671986","increases_with_pseudotime"
"RNF11","1","D2_late_increasing","28","7","0.201359237411212","3.95322240887591e-11","0.129906542056075","0.0653093607566017","increases_with_pseudotime"
"C6orf1","1","D2_late_increasing","27","2","0.201615706705342","3.73079352415001e-11","0.147663551401869","0.0782045503552212","increases_with_pseudotime"
"SSNA1","1","D2_late_increasing","27","4","0.201622039400418","3.72849449047239e-11","0.257943925233645","0.158847378644028","increases_with_pseudotime"
"PSMC4","1","D2_late_increasing","27","2","0.203865565536798","2.23214615527597e-11","0.202803738317757","0.115116846112463","increases_with_pseudotime"
"NPC2","1","D2_late_increasing","27","1","0.204385277071487","1.98340416674657e-11","0.562616822429907","0.551282189184936","increases_with_pseudotime"
"SAT2","1","D2_late_increasing","28","4","0.204413506130961","1.97208723721577e-11","0.277570093457944","0.173569767043128","increases_with_pseudotime"
"NDUFB11","1","D2_late_increasing","27","30","0.204432690452616","1.96496317333755e-11","0.530841121495327","0.476541132613317","increases_with_pseudotime"
"DCHS1","1","D2_late_increasing","27","9","0.204906749099453","1.76110274716277e-11","0.21214953271028","0.133919944686314","increases_with_pseudotime"
"HAS2","1","D2_late_increasing","20","3","0.204988501721473","1.72930914186905e-11","0.195327102803738","0.167182732862465","increases_with_pseudotime"
"NDUFA4","1","D2_late_increasing","27","30","0.20508351567455","1.69283130238737e-11","0.531775700934579","0.488451818116185","increases_with_pseudotime"
"ACTN1","1","D2_late_increasing","27","3","0.20527389470214","1.62061479103069e-11","0.370093457943925","0.297952424602788","increases_with_pseudotime"
"RAB1B","1","D2_late_increasing","27","4","0.20551363667198","1.53490903165203e-11","0.286915887850467","0.181529633851826","increases_with_pseudotime"
"HIGD2A","1","D2_late_increasing","27","30","0.206245416913196","1.29528227012398e-11","0.414018691588785","0.314497454519257","increases_with_pseudotime"
"TMEM160","1","D2_late_increasing","26","30","0.206324915733076","1.27241180025784e-11","0.241121495327103","0.135770167779967","increases_with_pseudotime"
