"gene","clean_module","dynamic_module","spearman_rho","branch_pattern"
"XXYLT1","clean_D2","D2_late_increasing","0.235889425589419","mixed_remodeling_branch_biased"
"GCN1","clean_D2","D2_late_increasing","0.236301678056848","mixed_remodeling_branch_biased"
"FAAP100","clean_D2","D2_late_increasing","0.236346591336218","mixed_remodeling_branch_biased"
"PTGDS","clean_D2","D2_late_increasing","0.236588024556407","common_increasing"
"CCL27","clean_D2","D2_late_increasing","0.2370371086866","mixed_remodeling_branch_biased"
"CAPG","clean_D2","D2_late_increasing","0.237121761264469","mixed_remodeling_branch_biased"
"MYC","clean_D2","D2_late_increasing","0.237125154930757","mixed_remodeling_branch_biased"
"MDFI","clean_D2","D2_late_increasing","0.237182883412308","mixed_remodeling_branch_biased"
"B4GALT7","clean_D2","D2_late_increasing","0.237300163968006","mixed_remodeling_branch_biased"
"PSMD8","clean_D2","D2_late_increasing","0.23732006642457","mixed_remodeling_branch_biased"
"IMP4","clean_D2","D2_late_increasing","0.237330829003426","mixed_remodeling_branch_biased"
"APRT","clean_D2","D2_late_increasing","0.237559909662011","mixed_remodeling_branch_biased"
"PTGES2","clean_D2","D2_late_increasing","0.237692485502681","mixed_remodeling_branch_biased"
"SLC35E1","clean_D2","D2_late_increasing","0.237805789426979","common_increasing"
"ANO1","clean_D2","D2_late_increasing","0.238155464757267","mixed_remodeling_branch_biased"
"SEC61B","clean_D2","D2_late_increasing","0.238218905225388","mixed_remodeling_branch_biased"
"TTC3","clean_D2","D2_late_increasing","0.238349956545284","common_increasing"
"POLR2G","clean_D2","D2_late_increasing","0.23847663788499","mixed_remodeling_branch_biased"
"TIMM13","clean_D2","D2_late_increasing","0.238899560972104","mixed_remodeling_branch_biased"
"TMED2","clean_D2","D2_late_increasing","0.23897861315536","mixed_remodeling_branch_biased"
"MMP14","clean_D2","D2_late_increasing","0.239071267461296","mixed_remodeling_branch_biased"
"UBA1","clean_D2","D2_late_increasing","0.239371809079441","mixed_remodeling_branch_biased"
"APLNR","clean_D2","D2_late_increasing","0.239763610608929","mixed_remodeling_branch_biased"
"DGKZ","clean_D2","D2_late_increasing","0.239970459985394","mixed_remodeling_branch_biased"
"ELN","clean_D2","D2_late_increasing","0.240067878391091","common_increasing"
"PRELID1","clean_D2","D2_late_increasing","0.240242503804266","mixed_remodeling_branch_biased"
"SIRT2","clean_D2","D2_late_increasing","0.240373048918895","mixed_remodeling_branch_biased"
"IL32","clean_D2","D2_late_increasing","0.240399682920637","common_increasing"
"CHRD","clean_D2","D2_late_increasing","0.240424132934099","common_increasing"
"BAX","clean_D2","D2_late_increasing","0.240517565479621","mixed_remodeling_branch_biased"
"PLEKHO1","clean_D2","D2_late_increasing","0.240622552676476","mixed_remodeling_branch_biased"
"TSPAN4","clean_D2","D2_late_increasing","0.240994346865986","mixed_remodeling_branch_biased"
"TCEB2","clean_D2","D2_late_increasing","0.240996002519578","mixed_remodeling_branch_biased"
"ATP8B2","clean_D2","D2_late_increasing","0.241221096368465","mixed_remodeling_branch_biased"
