"root","gene","original_module","original_rho","rho","q_value","expressed_fraction","same_direction","passes_original_threshold"
"Y_114","RPL36A","D2_late_increasing",-0.31182903931052,-0.31182903931052,3.89402893473618e-25,0.928971962616822,TRUE,TRUE
"Y_114","RPS3","D2_late_increasing",-0.309395865335623,-0.309395865335623,9.30061318927602e-25,0.978504672897196,TRUE,TRUE
"Y_114","JUNB","D2_late_increasing",-0.304021977543083,-0.304021977543083,6.17769896559617e-24,0.788785046728972,TRUE,TRUE
"Y_114","RPL23A","D2_late_increasing",-0.30222536731368,-0.30222536731368,1.14684908250553e-23,0.961682242990654,TRUE,TRUE
"Y_114","RPS5","D2_late_increasing",-0.296657605817121,-0.296657605817121,7.89432115872111e-23,0.945794392523365,TRUE,TRUE
"Y_114","BTF3","D2_late_increasing",-0.295835615822344,-0.295835615822344,1.04433833269341e-22,0.814953271028037,TRUE,TRUE
"Y_114","RPS17","D2_late_increasing",-0.289845504663776,-0.289845504663776,7.87810039334354e-22,0.964485981308411,TRUE,TRUE
"Y_114","RPL17-C18orf32","D2_late_increasing",-0.28796419277549,-0.28796419277549,1.45238118890638e-21,0.883177570093458,TRUE,TRUE
"Y_114","RPL10A","D2_late_increasing",-0.285962672650867,-0.285962672650867,2.76421858367405e-21,0.938317757009346,TRUE,TRUE
"Y_114","HNRNPA1","D2_late_increasing",-0.283193441758193,-0.283193441758193,6.83327360141279e-21,0.779439252336449,TRUE,TRUE
"Y_114","RPS25","D2_late_increasing",-0.274403321944163,-0.274403321944163,1.10164170200667e-19,0.919626168224299,TRUE,TRUE
"Y_114","LMO4","D2_late_increasing",-0.271597110997164,-0.271597110997164,2.61830252118496e-19,0.571028037383178,TRUE,TRUE
"Y_114","PFDN5","D2_late_increasing",-0.266494741804319,-0.266494741804319,1.23236507823343e-18,0.885981308411215,TRUE,TRUE
"Y_114","CIRBP","D2_late_increasing",-0.263125626714602,-0.263125626714602,3.36697963322147e-18,0.730841121495327,TRUE,TRUE
"Y_114","RPS15","D2_late_increasing",-0.262585129556937,-0.262585129556937,3.95399516256056e-18,0.963551401869159,TRUE,TRUE
"Y_114","RPL31","D2_late_increasing",-0.261618465686952,-0.261618465686952,5.22420957014418e-18,0.958878504672897,TRUE,TRUE
"Y_114","RPS7","D2_late_increasing",-0.25948494104019,-0.25948494104019,9.62180497172375e-18,0.927102803738318,TRUE,TRUE
"Y_114","ADIRF","D2_late_increasing",-0.257651924373326,-0.257651924373326,1.63503120428003e-17,0.620560747663551,TRUE,TRUE
"Y_114","RPS10","D2_late_increasing",-0.256446406773986,-0.256446406773986,2.31026614513035e-17,0.939252336448598,TRUE,TRUE
"Y_114","NUCKS1","D2_late_increasing",-0.252756319694565,-0.252756319694565,6.59957971754074e-17,0.783177570093458,TRUE,TRUE
"Y_114","RPS15A","D2_late_increasing",-0.252383118703315,-0.252383118703315,7.33150635133666e-17,0.945794392523365,TRUE,TRUE
