"gene","spearman_rho.mixed_remodeling_branch","fdr.mixed_remodeling_branch","spearman_rho.ecm_dominant_branch","fdr.ecm_dominant_branch","branch_pattern","original_module"
"NPTX2",0.362164399585989,1.62981711823623e-28,0.164734188904767,1.93981118636824e-05,"mixed_remodeling_branch_biased","D2_late_increasing"
"CXXC5",0.373581007487306,2.40217989794752e-30,0.257156270054709,1.59130683076605e-11,"common_increasing","D2_late_increasing"
"TMEM147",0.404173594329653,1.23380163209662e-35,0.155337254046159,5.66199376645256e-05,"mixed_remodeling_branch_biased","D2_late_increasing"
"CTTN",0.321735454867644,1.33497514047014e-22,0.236393536673581,6.63265348234828e-10,"common_increasing","D2_late_increasing"
"METRNL",0.356069135751886,1.44619076763188e-27,0.233755308326973,1.04544191096186e-09,"common_increasing","D2_late_increasing"
"XBP1",0.395102338789184,5.31580473520694e-34,0.193226681913285,5.10942798793648e-07,"mixed_remodeling_branch_biased","D2_late_increasing"
"FUT11",0.369551817929529,1.07808995843665e-29,0.225369358185113,4.19967048496441e-09,"common_increasing","D2_late_increasing"
"DNPH1",0.413491629925685,2.36178986682073e-37,0.206088140536924,8.29524765873514e-08,"common_increasing","D2_late_increasing"
"MRPL52",0.425500047084512,1.17286609022753e-39,0.140708704821568,0.000265290154077101,"mixed_remodeling_branch_biased","D2_late_increasing"
"ST3GAL2",0.292641256107207,7.74407411568194e-19,0.244378756526778,1.65029471381291e-10,"common_increasing","D2_late_increasing"
"FIBP",0.419035213596459,2.11879890507616e-38,0.136678278679298,0.00039700923342426,"mixed_remodeling_branch_biased","D2_late_increasing"
"ETHE1",0.392498045325775,1.5106068754229e-33,0.155613297094184,5.49744414753448e-05,"mixed_remodeling_branch_biased","D2_late_increasing"
"TMEM219",0.432488705038684,4.94171063229566e-41,0.221268033904063,8.03797125318285e-09,"common_increasing","D2_late_increasing"
"CDC42EP5",0.402792359587966,2.20509489545863e-35,0.158700593188152,3.89126544888063e-05,"mixed_remodeling_branch_biased","D2_late_increasing"
"C7orf73",0.384544599180478,3.57012615496697e-32,0.217360113136477,1.49402056200503e-08,"common_increasing","D2_late_increasing"
"S100A13",0.49000969449851,8.57013076622451e-54,0.227093844303305,3.1517630703572e-09,"common_increasing","D2_late_increasing"
"ZYX",0.413961112190274,1.92947907491378e-37,0.153563849569442,6.85265267983056e-05,"mixed_remodeling_branch_biased","D2_late_increasing"
"PDZRN4",0.192577222230383,7.96549664317171e-09,0.401637594770993,1.7624897335557e-27,"ecm_dominant_branch_biased","D2_late_increasing"
"MRPL12",0.416286142238969,7.018090998008e-38,0.14711953681152,0.000136319918462467,"mixed_remodeling_branch_biased","D2_late_increasing"
"MAP7D1",0.372635897770273,3.41675751541865e-30,0.18671902820747,1.23168545481916e-06,"mixed_remodeling_branch_biased","D2_late_increasing"
"FHL3",0.393426992870458,1.04939787511814e-33,0.144579148571311,0.000179117730958263,"mixed_remodeling_branch_biased","D2_late_increasing"
"PGLS",0.434600104022098,1.85814675532741e-41,0.135783362272029,0.00043318126533936,"mixed_remodeling_branch_biased","D2_late_increasing"
"CAPZB",0.324339303935781,5.90958943715083e-23,0.275911934066408,3.98612018270576e-13,"common_increasing","D2_late_increasing"
"ERI3",0.364706268944227,6.43976939350535e-29,0.209397223206114,5.04715008319303e-08,"common_increasing","D2_late_increasing"
"PDE4DIP",0.348612452249141,1.95692874315544e-26,0.320242026845537,1.96706527517477e-17,"common_increasing","D2_late_increasing"
"GALNT10",0.291679252419162,1.01678892737783e-18,0.309633200272669,2.48634185067808e-16,"common_increasing","D2_late_increasing"
"B4GALT1",0.32469021449875,5.30385808262215e-23,0.263509175619254,4.77836734632032e-12,"common_increasing","D2_late_increasing"
"NME1",0.417461162310698,4.23584539560571e-38,0.11494847791508,0.00291056583737984,"mixed_remodeling_branch_biased","D2_late_increasing"
"LMF2",0.36679850356309,2.99015288034584e-29,0.193389348537888,5.02339184931552e-07,"mixed_remodeling_branch_biased","D2_late_increasing"
"DPM2",0.421626586114246,6.75988916986409e-39,0.109085693557924,0.00468159697090247,"mixed_remodeling_branch_biased","D2_late_increasing"
"VTI1B",0.389549810498773,4.93217660844491e-33,0.19577424608942,3.63141523595839e-07,"mixed_remodeling_branch_biased","D2_late_increasing"
"TRAPPC2L",0.438054747789784,3.77246867658633e-42,0.154614678745463,6.13267566669669e-05,"mixed_remodeling_branch_biased","D2_late_increasing"
"THBS3",0.361277105150432,2.2314078199283e-28,0.260122933175235,9.10117420623173e-12,"common_increasing","D2_late_increasing"
"CNN2",0.39397975853455,8.38857447947772e-34,0.144515427598462,0.000180139840077214,"mixed_remodeling_branch_biased","D2_late_increasing"
"DYNLT1",0.428994223452904,2.44079582365145e-40,0.124399099853017,0.00127479634630822,"mixed_remodeling_branch_biased","D2_late_increasing"
"VGLL3",0.296273506559679,2.75762865166949e-19,0.356065491896544,1.76477537157371e-21,"common_increasing","D2_late_increasing"
"TRIOBP",0.393431400038894,1.04939787511814e-33,0.294292325975198,8.18926112917416e-15,"common_increasing","D2_late_increasing"
"THBS1",0.364263564562726,7.57105701486385e-29,0.302430296179816,1.30620237636064e-15,"common_increasing","D2_late_increasing"
"EPHB3",0.389762347736864,4.53283801463481e-33,0.205704293835376,8.75255000514087e-08,"common_increasing","D2_late_increasing"
"POMP",0.425608079703309,1.12705828785995e-39,0.117109632621079,0.00242831899015798,"mixed_remodeling_branch_biased","D2_late_increasing"
"MFAP2",0.440788727749988,1.0189746472673e-42,0.140946390137237,0.000259675788328641,"mixed_remodeling_branch_biased","D2_late_increasing"
"FAM195B",0.4170778940654,4.98413057383404e-38,0.152636479385435,7.59029889367573e-05,"mixed_remodeling_branch_biased","D2_late_increasing"
"C11orf96",0.420473852701627,1.13019033612603e-38,0.25700002249554,1.63642712803366e-11,"common_increasing","D2_late_increasing"
"PXDN",0.332361703666392,4.50543225885389e-24,0.20439468102348,1.06186364199977e-07,"common_increasing","D2_late_increasing"
"COMMD5",0.407038577854749,3.70521991593798e-36,0.199892086225436,2.0326321346845e-07,"mixed_remodeling_branch_biased","D2_late_increasing"
"P4HA3",0.327396693876052,2.22959083387858e-23,0.172467903856671,7.71671860744419e-06,"mixed_remodeling_branch_biased","D2_late_increasing"
"VOPP1",0.334007189077964,2.63044094778901e-24,0.283086141982877,8.97868788856737e-14,"common_increasing","D2_late_increasing"
"ALDH1L2",0.284463859788623,7.48411079946396e-18,0.288490073189343,2.87063184134469e-14,"common_increasing","D2_late_increasing"
"TNFSF10",0.429314685632324,2.10902386431415e-40,0.260148668686265,9.07771785709249e-12,"common_increasing","D2_late_increasing"
"HEXA",0.410638787880837,8.13564637912248e-37,0.239735824490612,3.76811182243172e-10,"common_increasing","D2_late_increasing"
"SEMA3B",0.347983277162747,2.42777733454447e-26,0.302756185592708,1.2141852865274e-15,"common_increasing","D2_late_increasing"
"UBE2L6",0.427451364712352,4.91848399464413e-40,0.181828912111667,2.33407873064266e-06,"mixed_remodeling_branch_biased","D2_late_increasing"
"SURF4",0.410548827115295,8.43872476858439e-37,0.177519759055577,4.09372658174403e-06,"mixed_remodeling_branch_biased","D2_late_increasing"
"SPARCL1",0.393024983004497,1.23008830183792e-33,0.264788335523702,3.74562662812701e-12,"common_increasing","D2_late_increasing"
"LASP1",0.33023908711885,8.98145339904828e-24,0.256184819261277,1.9076996164295e-11,"common_increasing","D2_late_increasing"
