"waldStat","df","pvalue","meanLogFC","gene","fdr"
14.4828965273756,10,0.152082398592225,0.465505998490614,"PTPMT1",0.184613392943503
NA,NA,NA,0.41755006234337,"RNF11",NA
0.778381475821294,10,0.99994611780018,0.145821550071592,"C6orf1",1
7.34225117421277,10,0.692787288924371,0.274701196645143,"SSNA1",0.730604945811067
NA,NA,NA,0.208391124910908,"PSMC4",NA
65.3278115194249,10,3.50816153904532e-10,1.08571890589383,"NPC2",1.04783245968854e-09
10.26600735123,10,0.417473793576388,0.360312324796196,"SAT2",0.464609166548271
78.2442459645943,10,1.10778053397098e-12,0.448670173390741,"NDUFB11",3.86871048017558e-12
26.7276048063997,10,0.00287552527194979,0.479461258430729,"DCHS1",0.00439180979790257
35.3792159774588,10,0.000107557657118562,3.91534863282551,"HAS2",0.000199310923803376
76.9102974861957,10,2.01871852567592e-12,0.485785471398609,"NDUFA4",6.86515513600651e-12
51.2479629798338,10,1.57172976855691e-07,0.367811295971196,"ACTN1",3.7955601857704e-07
NA,NA,NA,0.0499975583259948,"RAB1B",NA
22.9232403949129,10,0.0110334844043032,0.198041415947706,"HIGD2A",0.0158018987998538
15.7184984734449,10,0.107979258762113,0.342384491406979,"TMEM160",0.133758754373805
2.89418544004368,10,0.983805626035053,0.253469511434719,"ILVBL",0.995627110082283
12.1157481784475,10,0.277384616321704,0.805151628316196,"TMEM9",0.320847428815423
23.1850917156857,10,0.0100836113257938,0.831495563001772,"PMP22",0.0145332048949536
7.37221452932056,10,0.689900046552952,0.230971752197463,"RIC8A",0.728406095662884
45.1436031824432,10,2.04875714082675e-06,0.248958813907845,"COX7B",4.46108269513355e-06
27.5633940519958,10,0.00211963535077642,0.314450969400982,"YIPF3",0.00328434965615185
10.7802368885259,10,0.374894039062379,1.49764701308175,"TEN1",0.424443625272618
26.9079806504361,10,0.00269306481034304,0.604035322289412,"MRPS24",0.00412361357131784
NA,NA,NA,0.612461249271662,"FASTK",NA
20.8266967591674,10,0.0223349625652446,0.689801023172967,"FAM162A",0.0308208905915533
7.49580486728459,10,0.677954074544093,0.385841973976223,"TSR3",0.716626658540205
98.2444933402674,10,1.11022302462516e-16,4.80466996126305,"PRELP",5.22322542155255e-16
NA,NA,NA,0.23674085361849,"GORASP2",NA
NA,NA,NA,0.275170043132623,"ECH1",NA
29.4726780437623,10,0.00104429174118592,0.624764117310409,"GSTO1",0.00168123564006528
