"gene","dynamic_module","clean_module","expected_sign","scheme","n_repeats","median_rho","expected_direction_fraction","strong_expected_fraction","direction_retained_in_at_least_80pct_repeats"
"EEF1A1","D2_late_increasing","none",1,"five_donors_n43",100,-0.270787792654881,0,0,FALSE
"RPL32","D2_late_increasing","none",1,"all_6_donors_n11",100,-0.285335559962426,0,0,FALSE
"RPL32","D2_late_increasing","none",1,"five_donors_n43",100,-0.289729379864438,0,0,FALSE
"RPS4X","D2_late_increasing","none",1,"five_donors_n43",100,-0.293410418880097,0,0,FALSE
"RPS4X","D2_late_increasing","none",1,"all_6_donors_n11",100,-0.205585029558512,0.04,0,FALSE
"RPL23","D2_late_increasing","none",1,"five_donors_n43",100,-0.289871684164678,0,0,FALSE
"RPL23","D2_late_increasing","none",1,"all_6_donors_n11",100,-0.222824342730416,0,0,FALSE
"RPL14","D2_late_increasing","none",1,"five_donors_n43",100,-0.296166235127928,0,0,FALSE
"RPL14","D2_late_increasing","none",1,"all_6_donors_n11",100,-0.29174868136665,0,0,FALSE
"RPS3A","D2_late_increasing","none",1,"all_6_donors_n11",100,-0.374517450322898,0,0,FALSE
"RPS3A","D2_late_increasing","none",1,"five_donors_n43",100,-0.379004014186659,0,0,FALSE
"RPL21","D2_late_increasing","none",1,"all_6_donors_n11",100,-0.290203789481519,0,0,FALSE
"RPL21","D2_late_increasing","none",1,"five_donors_n43",100,-0.279588627827494,0,0,FALSE
"RPL7","D2_late_increasing","none",1,"all_6_donors_n11",100,-0.29968079935206,0,0,FALSE
"RPL7","D2_late_increasing","none",1,"five_donors_n43",100,-0.307335187226856,0,0,FALSE
"RPL22","D2_late_increasing","none",1,"five_donors_n43",100,-0.320414723533214,0,0,FALSE
"RPL22","D2_late_increasing","none",1,"all_6_donors_n11",100,-0.312997284556053,0,0,FALSE
"RPS8","D2_late_increasing","none",1,"all_6_donors_n11",100,-0.269992693873291,0.01,0,FALSE
"RPS8","D2_late_increasing","none",1,"five_donors_n43",100,-0.295589860812092,0,0,FALSE
"HSP90AB1","D2_late_increasing","none",1,"all_6_donors_n11",100,-0.420548889575771,0,0,FALSE
"HSP90AB1","D2_late_increasing","none",1,"five_donors_n43",100,-0.40416157918597,0,0,FALSE
"VIM","D2_late_increasing","none",1,"all_6_donors_n11",100,-0.337565041958329,0,0,FALSE
"VIM","D2_late_increasing","none",1,"five_donors_n43",100,-0.375762655791639,0,0,FALSE
"RPS16","D2_late_increasing","none",1,"five_donors_n43",100,-0.297342771131552,0,0,FALSE
"RPS16","D2_late_increasing","none",1,"all_6_donors_n11",100,-0.242319238023558,0.03,0,FALSE
"NACA","D2_late_increasing","none",1,"all_6_donors_n11",100,-0.231037692988168,0.03,0,FALSE
"NACA","D2_late_increasing","none",1,"five_donors_n43",100,-0.257356975150702,0,0,FALSE
"RPS20","D2_late_increasing","none",1,"all_6_donors_n11",100,-0.151759476813177,0.09,0,FALSE
"RPS20","D2_late_increasing","none",1,"five_donors_n43",100,-0.219685954335582,0,0,FALSE
"GLTSCR2","D2_late_increasing","none",1,"all_6_donors_n11",100,-0.136994318542886,0.13,0,FALSE
"GLTSCR2","D2_late_increasing","none",1,"five_donors_n43",100,-0.176628335137599,0,0,FALSE
"RPL36A","D2_late_increasing","none",1,"five_donors_n43",100,-0.208562958177442,0,0,FALSE
"RPL36A","D2_late_increasing","none",1,"all_6_donors_n11",100,-0.159629457845492,0.08,0,FALSE
"RPS3","D2_late_increasing","none",1,"five_donors_n43",100,-0.247431748048143,0,0,FALSE
"RPS3","D2_late_increasing","none",1,"all_6_donors_n11",100,-0.275133620384219,0,0,FALSE
"JUNB","D2_late_increasing","none",1,"all_6_donors_n11",100,-0.173020293353356,0.08,0,FALSE
"JUNB","D2_late_increasing","none",1,"five_donors_n43",100,-0.220971203974421,0,0,FALSE
"RPL23A","D2_late_increasing","none",1,"all_6_donors_n11",100,-0.216455495452845,0.06,0,FALSE
"RPL23A","D2_late_increasing","none",1,"five_donors_n43",100,-0.297892796443476,0,0,FALSE
"RPS5","D2_late_increasing","none",1,"all_6_donors_n11",100,-0.229425957636011,0.02,0,FALSE
"RPS5","D2_late_increasing","none",1,"five_donors_n43",100,-0.260828118885622,0,0,FALSE
"BTF3","D2_late_increasing","none",1,"five_donors_n43",100,-0.280819654410323,0,0,FALSE
"BTF3","D2_late_increasing","none",1,"all_6_donors_n11",100,-0.202521238721792,0.05,0,FALSE
"RPS17","D2_late_increasing","none",1,"all_6_donors_n11",100,-0.206403437156557,0.02,0,FALSE
"RPS17","D2_late_increasing","none",1,"five_donors_n43",100,-0.227192893824868,0,0,FALSE
"RPL17-C18orf32","D2_late_increasing","none",1,"all_6_donors_n11",100,-0.324017275776519,0,0,FALSE
"RPL17-C18orf32","D2_late_increasing","none",1,"five_donors_n43",100,-0.26143425337785,0,0,FALSE
"RPL10A","D2_late_increasing","none",1,"all_6_donors_n11",100,-0.261341232467783,0.01,0,FALSE
"RPL10A","D2_late_increasing","none",1,"five_donors_n43",100,-0.309770141001205,0,0,FALSE
"HNRNPA1","D2_late_increasing","none",1,"five_donors_n43",100,-0.242340365794766,0,0,FALSE
"HNRNPA1","D2_late_increasing","none",1,"all_6_donors_n11",100,-0.214144536742453,0.05,0,FALSE
"RPS25","D2_late_increasing","none",1,"all_6_donors_n11",100,-0.201911362885239,0.02,0,FALSE
"RPS25","D2_late_increasing","none",1,"five_donors_n43",100,-0.191246809083614,0,0,FALSE
"LMO4","D2_late_increasing","none",1,"all_6_donors_n11",100,-0.310486349066075,0.01,0,FALSE
"LMO4","D2_late_increasing","none",1,"five_donors_n43",100,-0.311996373349488,0,0,FALSE
"PFDN5","D2_late_increasing","none",1,"all_6_donors_n11",100,-0.231375603630629,0.01,0,FALSE
"PFDN5","D2_late_increasing","none",1,"five_donors_n43",100,-0.19028673339434,0,0,FALSE
"CIRBP","D2_late_increasing","none",1,"five_donors_n43",100,-0.164014172316001,0,0,FALSE
"CIRBP","D2_late_increasing","none",1,"all_6_donors_n11",100,-0.252367372962058,0.01,0,FALSE
"RPS15","D2_late_increasing","none",1,"five_donors_n43",100,-0.309718630122499,0,0,FALSE
"RPS15","D2_late_increasing","none",1,"all_6_donors_n11",100,-0.275764245262958,0,0,FALSE
"RPL31","D2_late_increasing","none",1,"five_donors_n43",100,-0.185136573982996,0,0,FALSE
"RPL31","D2_late_increasing","none",1,"all_6_donors_n11",100,-0.177508504810463,0.04,0,FALSE
"RPS7","D2_late_increasing","none",1,"all_6_donors_n11",100,-0.215165833247243,0.01,0,FALSE
"RPS7","D2_late_increasing","none",1,"five_donors_n43",100,-0.253773692679564,0,0,FALSE
"ADIRF","D2_late_increasing","none",1,"all_6_donors_n11",100,-0.433035578609252,0,0,FALSE
"ADIRF","D2_late_increasing","none",1,"five_donors_n43",100,-0.368791788484374,0,0,FALSE
"RPS10","D2_late_increasing","none",1,"five_donors_n43",100,-0.306445978411408,0,0,FALSE
"RPS10","D2_late_increasing","none",1,"all_6_donors_n11",100,-0.342050446246209,0,0,FALSE
"NUCKS1","D2_late_increasing","none",1,"five_donors_n43",100,-0.264829303614909,0,0,FALSE
"NUCKS1","D2_late_increasing","none",1,"all_6_donors_n11",100,-0.306217108861502,0,0,FALSE
"RPS15A","D2_late_increasing","none",1,"all_6_donors_n11",100,-0.224841472847408,0.06,0,FALSE
"RPS15A","D2_late_increasing","none",1,"five_donors_n43",100,-0.245050306518898,0,0,FALSE
"FGFR1","D2_late_increasing","none",1,"all_6_donors_n11",100,-0.231051665863284,0.02,0,FALSE
"FGFR1","D2_late_increasing","none",1,"five_donors_n43",100,-0.217226865692949,0,0,FALSE
"CD81","D2_late_increasing","none",1,"five_donors_n43",100,-0.280110379485106,0,0,FALSE
"CD81","D2_late_increasing","none",1,"all_6_donors_n11",100,-0.247847627553656,0,0,FALSE
"EIF1","D2_late_increasing","none",1,"five_donors_n43",100,-0.225818187186572,0,0,FALSE
"EIF1","D2_late_increasing","none",1,"all_6_donors_n11",100,-0.177233734558835,0.04,0,FALSE
"ZFP36L2","D2_late_increasing","none",1,"all_6_donors_n11",100,-0.225232768506878,0,0,FALSE
"ZFP36L2","D2_late_increasing","none",1,"five_donors_n43",100,-0.187949429583499,0,0,FALSE
"RPS24","D2_late_increasing","none",1,"all_6_donors_n11",100,-0.212328266302547,0.02,0,FALSE
"RPS24","D2_late_increasing","none",1,"five_donors_n43",100,-0.21845270698884,0,0,FALSE
"RPL7A","D2_late_increasing","none",1,"five_donors_n43",100,-0.197463934280524,0,0,FALSE
"RPL7A","D2_late_increasing","none",1,"all_6_donors_n11",100,-0.123910635395843,0.08,0,FALSE
"RPS18","D2_late_increasing","none",1,"five_donors_n43",100,-0.216290638573738,0,0,FALSE
"RPS18","D2_late_increasing","none",1,"all_6_donors_n11",100,-0.173510072017535,0.04,0,FALSE
"HMGB1","D2_late_increasing","none",1,"five_donors_n43",100,-0.236110794382558,0,0,FALSE
"HMGB1","D2_late_increasing","none",1,"all_6_donors_n11",100,-0.258493380340932,0.01,0,FALSE
"HIST1H4C","D2_late_increasing","none",1,"all_6_donors_n11",100,-0.143383737933965,0.11,0,FALSE
"HIST1H4C","D2_late_increasing","none",1,"five_donors_n43",100,-0.172572665189243,0.01,0,FALSE
"RPL35","D2_late_increasing","none",1,"all_6_donors_n11",100,-0.0709738023170859,0.21,0.01,FALSE
"RPL35","D2_late_increasing","none",1,"five_donors_n43",100,-0.172253503175559,0,0,FALSE
"SNHG8","D2_late_increasing","none",1,"all_6_donors_n11",100,-0.098876069493252,0.21,0.01,FALSE
"SNHG8","D2_late_increasing","none",1,"five_donors_n43",100,-0.131757257003631,0,0,FALSE
"RPS2","D2_late_increasing","none",1,"all_6_donors_n11",100,-0.219721866161006,0.05,0.01,FALSE
"RPS2","D2_late_increasing","none",1,"five_donors_n43",100,-0.242836339581733,0,0,FALSE
"TMEM258","D2_late_increasing","clean_D2",1,"all_6_donors_n11",100,0.213220684101198,0.99,0.55,TRUE
"TMEM258","D2_late_increasing","clean_D2",1,"five_donors_n43",100,0.207315810536667,1,0.6,TRUE
"POLDIP2","D2_late_increasing","clean_D2",1,"all_6_donors_n11",100,0.174186385459849,0.94,0.39,TRUE
"POLDIP2","D2_late_increasing","clean_D2",1,"five_donors_n43",100,0.178128631017618,1,0.27,TRUE
"PLXNA3","D2_late_increasing","clean_D2",1,"all_6_donors_n11",100,0.116068574176098,0.86,0.22,TRUE
"PLXNA3","D2_late_increasing","clean_D2",1,"five_donors_n43",100,0.167532763209714,1,0.23,TRUE
"MRPS12","D2_late_increasing","none",1,"all_6_donors_n11",100,0.0275560624463525,0.63,0.04,FALSE
