"cell","ordering_set","pseudotime","program","sample","condition"
"K183261_CELL13785_N1","program_DE_all1586",10.2968719129035,"Homeostatic/regulatory fibroblasts","K183261","Keloid"
"K183261_CELL17149_N1","program_DE_all1586",10.4832922334834,"Matrix-remodeling fibroblasts","K183261","Keloid"
"K183261_CELL17959_N1","program_DE_all1586",22.3442928060551,"ECM-producing fibroblasts","K183261","Keloid"
"K183261_CELL19488_N1","program_DE_all1586",6.52057980790758,"Homeostatic/regulatory fibroblasts","K183261","Keloid"
"K183261_CELL20828_N1","program_DE_all1586",18.3309441492084,"ECM-producing fibroblasts","K183261","Keloid"
"K183261_CELL26267_N1","program_DE_all1586",9.59057015138058,"Homeostatic/regulatory fibroblasts","K183261","Keloid"
"K183261_CELL30227_N1","program_DE_all1586",21.44999430617,"ECM-producing fibroblasts","K183261","Keloid"
"K183261_CELL34896_N1","program_DE_all1586",0.309908055339709,"Homeostatic/regulatory fibroblasts","K183261","Keloid"
"K183261_CELL36106_N1","program_DE_all1586",18.62680053506,"Homeostatic/regulatory fibroblasts","K183261","Keloid"
"K183261_CELL37268_N1","program_DE_all1586",9.21878394089847,"ECM-producing fibroblasts","K183261","Keloid"
"K712771_CELL329_N4","program_DE_all1586",20.0118373596867,"Matrix-remodeling fibroblasts","K712771","Keloid"
"K712771_CELL502_N3","program_DE_all1586",0.586656721733248,"Homeostatic/regulatory fibroblasts","K712771","Keloid"
"K712771_CELL710_N4","program_DE_all1586",17.4672148679429,"ECM-producing fibroblasts","K712771","Keloid"
"K712771_CELL834_N1","program_DE_all1586",9.82795589754458,"Matrix-remodeling fibroblasts","K712771","Keloid"
"K712771_CELL859_N6","program_DE_all1586",11.6519190696305,"Homeostatic/regulatory fibroblasts","K712771","Keloid"
"K712771_CELL1003_N2","program_DE_all1586",19.7145045702164,"ECM-producing fibroblasts","K712771","Keloid"
"K712771_CELL1279_N4","program_DE_all1586",20.1924797567193,"Matrix-remodeling fibroblasts","K712771","Keloid"
"K712771_CELL1351_N2","program_DE_all1586",15.1011066895777,"ECM-producing fibroblasts","K712771","Keloid"
"K712771_CELL1464_N4","program_DE_all1586",14.0899428567251,"Homeostatic/regulatory fibroblasts","K712771","Keloid"
"K712771_CELL1603_N2","program_DE_all1586",13.5260253156188,"Homeostatic/regulatory fibroblasts","K712771","Keloid"
"K712771_CELL1806_N3","program_DE_all1586",13.5502040020549,"Matrix-remodeling fibroblasts","K712771","Keloid"
